Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3m7V717IKZqZLW5qUIOxdD,"Hey Jude - Remastered 2009","The Beatles 1967 - 1970 (Remastered)","The Beatles",1973-04-02,431333,59,,2024-07-10T05:20:25Z,"british invasion,classic rock,merseybeat,psychedelic rock,rock","EMI Catalogue",0.399,0.555,10,-10.156,1,0.0259,0.0275,0.0000133,0.0928,0.663,145.164,4
4Y4Gd3ty8uut6Qw43c7yJc,"(Sittin' On) the Dock of the Bay","The Dock of the Bay","Otis Redding",1968-02-23,166826,60,,2024-07-10T05:20:25Z,"classic soul,memphis soul,soul,soul blues,southern soul,vocal jazz","Elektra Records",0.484,0.312,2,-13.522,1,0.0535,0.724,0.00000165,0.0601,0.598,205.981,4
4s6LhHAV5SEsOV0lC2tjvJ,"California Dreamin' - Single Version","If You Can Believe Your Eyes & Ears","The Mamas & The Papas",1966-03,162373,80,,2024-07-10T05:20:25Z,"classic rock,folk rock,mellow gold,psychedelic rock,rock,soft rock,sunshine pop","Geffen*",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,4
3xsOtNxtBW0oTI1OWKAzTm,"Walk on By","Make Way for Dionne Warwick","Dionne Warwick",1964,178333,65,,2024-07-10T05:20:25Z,"adult standards,brill building pop,disco,quiet storm,soft rock,soul,vocal jazz","Rhino",0.7,0.33,5,-9.027,1,0.0303,0.719,0.000086,0.136,0.524,98.605,4
3v9xlH6BpmRbqL7hgNJhfT,"I Get Around (Mono)","All Summer Long (Mono & Stereo)","The Beach Boys",1964-07-13,134386,65,,2024-07-10T05:20:25Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.389,0.626,9,-7.813,0,0.0541,0.366,0,0.0663,0.514,144.337,4
48i055G1OT5KxGGftwFxWy,"Oh, Pretty Woman","Oh, Pretty Woman","Roy Orbison",1962,178933,78,,2024-07-10T05:20:25Z,"adult standards,classic rock,folk rock,mellow gold,rock-and-roll,rockabilly,singer-songwriter,soft rock","Monument/Orbison Records/Legacy",0.619,0.603,9,-9.481,1,0.0342,0.712,0,0.0721,0.958,127.433,4
3SdingSsFcZDZAyvcJbgAw,"Can't Buy Me Love - Remastered 2009","A Hard Day's Night (Remastered)","The Beatles",1964-07-10,131866,66,,2024-07-10T05:20:25Z,"british invasion,classic rock,merseybeat,psychedelic rock,rock","EMI Catalogue",0.483,0.677,0,-5.91,1,0.0593,0.283,0,0.321,0.842,170.72,4
7jmHyHMEqm9MJWiMAneF05,"Stand By Me","Don't Play That Song","Ben E. King",1962,175493,77,,2024-07-10T05:20:25Z,"rock-and-roll,soul","Rhino Atlantic",0.632,0.232,9,-12.326,1,0.0318,0.428,0.00000495,0.215,0.673,119.136,4
4JLcAU2xY90qTkTSNM1lUa,"Bang Bang (My Baby Shot Me Down)","How Does That Grab You?","Nancy Sinatra",1966-01-01,162446,68,,2024-07-10T05:20:25Z,"lounge,sunshine pop","Boots Enterprises, Inc.",0.433,0.174,5,-18.791,0,0.0537,0.982,0.101,0.111,0.366,95.802,4
2HoqbEOXgbDSLZ5XCePEXt,"Hit the Road Jack","Soul","Ray Charles",2021-06-04,119880,69,,2024-07-10T05:20:25Z,"adult standards,classic soul,jazz blues,piano blues,soul,soul blues,vocal jazz","Tangerine Records",0.598,0.571,8,-12.616,0,0.139,0.704,0,0.513,0.962,173.141,4
